"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2022,"MI","FT","Data Engineer",170000,"USD",170000,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",226600,"USD",226600,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",176000,"USD",176000,"US",0,"US","M"
2024,"SE","FT","Business Intelligence Analyst",84700,"USD",84700,"US",0,"US","M"
2024,"EX","FT","Data Scientist",125000,"USD",125000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",109000,"USD",109000,"US",100,"US","M"
2024,"MI","FT","Data Engineer",95000,"USD",95000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",155000,"USD",155000,"US",0,"US","M"
2022,"SE","FT","Data Scientist",177500,"USD",177500,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",152000,"USD",152000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",278700,"USD",278700,"US",0,"US","M"
2023,"MI","FT","Data Scientist",93300,"USD",93300,"US",0,"US","M"
2023,"SE","FT","Data Engineer",202000,"USD",202000,"US",100,"US","M"
2024,"SE","FT","Data Analyst",105000,"USD",105000,"US",0,"US","M"
2023,"MI","FT","Research Scientist",144500,"USD",144500,"US",0,"US","M"
2023,"MI","FT","Decision Scientist",204500,"USD",204500,"US",0,"US","M"
2023,"MI","FT","Data Engineer",148000,"USD",148000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",220000,"USD",220000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2022,"EN","FT","Data Engineer",50000,"GBP",61566,"GB",100,"GB","M"
2021,"MI","FT","Data Engineer",100000,"AUD",75050,"AU",50,"AU","L"
2023,"MI","FT","Data Engineer",95000,"USD",95000,"US",100,"US","M"
2023,"MI","FT","Data Engineer",140000,"USD",140000,"US",100,"US","M"
2024,"MI","FT","Business Intelligence",167500,"USD",167500,"US",0,"US","M"
2022,"SE","FT","Data Analyst",216200,"USD",216200,"US",0,"US","M"
2022,"EN","FT","Data Science Consultant",23000,"EUR",24165,"IT",50,"IT","M"
2023,"MI","FT","AI Engineer",33063,"GBP",40680,"GB",0,"GB","M"
2023,"SE","FT","Data Engineer",91270,"USD",91270,"US",0,"US","M"
2023,"SE","FT","Data Scientist",127000,"USD",127000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",161000,"USD",161000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",112000,"USD",112000,"US",0,"US","M"
2024,"MI","FT","Data Analyst",177000,"USD",177000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",90000,"USD",90000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",180000,"USD",180000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",110000,"USD",110000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",84000,"USD",84000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",205600,"USD",205600,"US",100,"US","M"
2023,"MI","FT","Data Engineer",86000,"USD",86000,"US",100,"US","M"
2023,"EX","FT","Data Scientist",299500,"USD",299500,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Engineer",202800,"USD",202800,"US",0,"US","L"
2023,"SE","FT","Data Engineer",100000,"USD",100000,"US",0,"US","M"
